,NaiveBayes,RandomForest,DecisionTree,LogisticRegression,KNN,BBC,IBC,PBC,WPBC2,WPIBC
accumulo_data.csv,0.654415637,0.781779237,0.719338118,0.681098624,0.671902007,0.791486777,0.780685991,0.779712362,0.776889767,0.79403583
airavata_data.csv,0.728249095,0.835706912,0.752717668,0.751465566,0.746030229,0.849876701,0.853486453,0.820235637,0.820117755,0.852978284
ambari_data.csv,0.707390231,0.903280293,0.724806416,0.84553693,0.601365725,0.917769316,0.904860875,0.86179161,0.90837517,0.91410611
avro_data.csv,0.78780971,0.894000724,0.785125375,0.74064211,0.825528878,0.907965658,0.902596988,0.89658919,0.892956816,0.910373037
bigtop_data.csv,0.757240809,0.96737203,0.910273082,0.919257595,0.636481854,0.971923395,0.917366119,0.971214092,0.971923395,0.974228632
bookkeeper_data.csv,0.941597779,0.912791065,0.89061021,0.898908311,0.761248186,0.94898088,0.947908121,0.947624156,0.948476052,0.947908121
camel_data.csv,0.757895167,0.882893211,0.831080261,0.754893138,0.809164157,0.882818743,0.83243758,0.878531204,0.857417195,0.879156672
carbondata_data.csv,0.830664524,0.889303927,0.847490922,0.857293093,0.847600056,0.897439332,0.891169117,0.879848999,0.865192869,0.894252138
cayenne_data.csv,0.708237467,0.869319261,0.778509235,0.816242744,0.764435356,0.880258575,0.851382586,0.872440633,0.873084433,0.879585752
cocoon_data.csv,0.792189709,0.899448685,0.737340967,0.848119876,0.762574215,0.924731411,0.902332485,0.909690416,0.9142635,0.907796155
curator_data.csv,0.600578273,0.757400523,0.554522924,0.583092386,0.604089219,0.864794162,0.87002616,0.857703428,0.859217954,0.838083437
derby_data.csv,0.880426744,0.94524459,0.912664424,0.920685579,0.902752016,0.945588592,0.934371401,0.933253016,0.935648906,0.936429351
drill_data.csv,0.75139819,0.883460388,0.800938955,0.766899995,0.80841675,0.888570759,0.833685107,0.875583321,0.861150197,0.884778427
falcon_data.csv,0.855056324,0.912965263,0.852250825,0.900029982,0.87664368,0.930676318,0.928706044,0.924829743,0.910309676,0.93082623
flink_data.csv,0.781897028,0.901950249,0.862640388,0.724549709,0.844384554,0.900672357,0.892243294,0.893856248,0.876176528,0.899278428
flume_data.csv,0.722214924,0.881853214,0.832691073,0.818444561,0.782164127,0.893019793,0.874554797,0.886962107,0.860833771,0.884743388
gora_data.csv,0.548052703,0.706645999,0.661305948,0.627010269,0.676613059,0.809339275,0.778918814,0.755183104,0.777562488,0.777271847
hadoop_data.csv,0.737208866,0.848383281,0.751286415,0.768928426,0.779951753,0.850733446,0.849667894,0.830827813,0.831165869,0.829586472
hbase_data.csv,0.780339672,0.871666056,0.815736175,0.796282175,0.790059969,0.871979635,0.851301402,0.849588652,0.848657398,0.871464306
helix_data.csv,0.893876312,0.948087432,0.78515049,0.84447914,0.703465175,0.961596843,0.96289791,0.944292653,0.955937202,0.962420852
hive_data.csv,0.798355218,0.866619318,0.830356153,0.816231292,0.787016699,0.876274945,0.871306818,0.849004816,0.853131063,0.874241269
ignite_data.csv,0.744688083,0.845247723,0.775350264,0.777055909,0.756948642,0.842448532,0.839219707,0.820730075,0.817131364,0.840711898
JCR_data.csv,0.792421797,0.857811293,0.7980008,0.832629924,0.73954368,0.864369552,0.862148985,0.852068507,0.852334009,0.863300645
oodt_data.csv,0.753639335,0.829768271,0.644385027,0.780204001,0.679540503,0.861754803,0.866235888,0.820509012,0.826871658,0.855392157
oozie_data.csv,0.773932253,0.878320045,0.866563405,0.868620182,0.762835813,0.91661165,0.895282109,0.913996242,0.913996242,0.919201666
openjpa_data.csv,0.770749462,0.873922588,0.830506595,0.801872714,0.793925332,0.876931636,0.81519541,0.867505103,0.848761047,0.868482432
parquet_data.csv,0.742132921,0.838763524,0.761267388,0.792148377,0.721885626,0.870479134,0.871931994,0.857001546,0.848840804,0.872179289
phoenix_data.csv,0.809292522,0.8203125,0.68810713,0.825513196,0.742943548,0.868241386,0.867244776,0.837632881,0.83673937,0.850508614
reef_data.csv,0.877061392,0.928255844,0.784844593,0.923606473,0.872360647,0.956742872,0.957641921,0.913896738,0.955561264,0.953660416
spark_data.csv,0.866145998,0.926503677,0.846163704,0.864281122,0.776838413,0.93019602,0.929118798,0.916575224,0.923914881,0.928363011
storm_data.csv,0.811071896,0.891305161,0.771414547,0.831030292,0.755735789,0.899635378,0.902652861,0.859197364,0.890272064,0.89519914
tez_data.csv,0.773917299,0.850590564,0.771103499,0.828369331,0.797995863,0.868630024,0.867506729,0.850212425,0.839402095,0.861678938
zeppelin_data.csv,0.747478847,0.904506561,0.842363485,0.824183013,0.805725595,0.906301927,0.899714938,0.899082262,0.89452461,0.906232691
zookeeper_data.csv,0.735208726,0.878439527,0.797800272,0.826441201,0.783008998,0.879047656,0.87144277,0.86916719,0.854709406,0.874411488
