,BBC
0,0.9739583333333334
1,0.8153846153846154
2,0.9353023909985936
3,0.8756334459459459
4,0.9936224489795918
5,0.6473711473711474
6,0.7634572072072071
7,0.6969565217391305
8,0.8788015657934357
9,0.8052444444444443
10,0.8560090702947846
11,0.9035029742233972
12,0.8973407544836116
13,0.8228228228228228
14,0.8736871199557766
15,0.9276094276094276
16,0.8793103448275861
17,0.917741935483871
18,0.7115036231884058
19,0.7542918454935622
20,0.8442776735459663
21,0.8925925925925926
22,0.8519736842105263
23,0.8357531760435571
24,0.8259187620889747
25,0.851653469958081
26,0.8652721547458389
