,BBC
0,0.9895833333333334
1,0.8128205128205128
2,0.950070323488045
3,0.8910472972972971
4,0.9910714285714286
5,0.6652421652421652
6,0.7935247747747748
7,0.7146739130434783
8,0.867359229147847
9,0.8174755555555554
10,0.8494331065759637
11,0.9286186384666225
12,0.9081632653061225
13,0.8164414414414415
14,0.892758430071863
15,0.952020202020202
16,0.9919540229885058
17,0.9225806451612903
18,0.8370697463768116
19,0.7526997092620795
20,0.8799249530956849
21,0.9629629629629629
22,0.8667763157894737
23,0.8548094373865699
24,0.8375241779497099
25,0.8716814159292036
26,0.8612235717498875
