,IBC
0,0.9973958333333334
1,0.9017094017094017
2,0.9613220815752461
3,0.902027027027027
4,0.9910714285714286
5,0.7070707070707071
6,0.8073198198198198
7,0.7543840579710145
8,0.8951746461909063
9,0.8395911111111112
10,0.8750566893424037
11,0.9434897554527428
12,0.9335188620902907
13,0.8776276276276276
14,0.9226091763405196
15,0.9646464646464645
16,0.9988505747126437
17,0.964516129032258
18,0.864356884057971
19,0.7760279662190225
20,0.9652908067542214
21,0.9925925925925927
22,0.8865131578947368
23,0.9174228675136115
24,0.8834622823984526
25,0.8982300884955752
26,0.8911381016644174
