,IBC
0,0.9817708333333334
1,0.9285714285714286
2,0.8985890652557319
3,0.8706932337069323
4,0.9932659932659933
5,0.8915436415436415
6,0.9337269617040062
7,0.9267574237719928
8,0.9057691147184841
9,0.8765172929830396
10,0.9088794926004228
11,0.95625
12,0.9788074712643678
13,0.9164179104477612
14,0.9209508015478165
15,0.9726941747572816
16,0.9655172413793103
17,0.9655172413793103
18,0.9045516304347826
19,0.8507092198581561
20,0.9567099567099566
21,0.9722222222222222
22,0.9324468085106383
23,0.9347667638483964
24,0.923148148148148
25,0.9739130434782608
26,0.9615384615384616
