,WPIBC
0,0.9765625
1,0.9571428571428571
2,0.8932980599647267
3,0.8821087588210876
4,0.9983164983164984
5,0.8824786324786325
6,0.9219732921311113
7,0.9306981928190431
8,0.907036388872126
9,0.8707598935816429
10,0.9194503171247357
11,0.91875
12,0.9752155172413792
13,0.9170149253731343
14,0.9187396351575456
15,0.9726941747572816
16,0.9770114942528736
17,0.9655172413793104
18,0.9067028985507246
19,0.8452528025623427
20,0.9496753246753247
21,0.9722222222222222
22,0.9340425531914894
23,0.9373177842565598
24,0.9296296296296296
25,0.9726342710997443
26,0.9615384615384616
