,BBC
0,0.9479166666666667
1,0.9232142857142857
2,0.8377425044091711
3,0.8555417185554173
4,0.9831649831649832
5,0.8673271173271173
6,0.8987970422690652
7,0.9121487142743412
8,0.8896868022448855
9,0.845360824742268
10,0.8875264270613108
11,0.8848958333333332
12,0.9669540229885059
13,0.9071641791044777
14,0.9079601990049752
15,0.9702669902912622
16,0.92183908045977
17,0.9482758620689655
18,0.8760190217391304
19,0.8216083276138183
20,0.9161255411255411
21,0.9642857142857143
22,0.9042553191489362
23,0.9187317784256559
24,0.8944444444444444
25,0.9639386189258312
26,0.9523166891587944
