,PBC
0,0.9453125
1,0.9196428571428571
2,0.8174603174603174
3,0.8420506434205064
4,0.9797979797979799
5,0.8363118363118365
6,0.8882021851892727
7,0.9052225141310403
8,0.8770744070967353
9,0.8045186232125041
10,0.8657505285412262
11,0.8791666666666667
12,0.9633620689655173
13,0.8961194029850745
14,0.892482034273079
15,0.9696601941747574
16,0.8206896551724137
17,0.9310344827586206
18,0.8135190217391306
19,0.8120109814687714
20,0.908008658008658
21,0.9642857142857143
22,0.8909574468085106
23,0.9136297376093294
24,0.8814814814814815
25,0.9639386189258312
26,0.9493927125506073
