,WPBC2
0,0.9401041666666666
1,0.8901785714285715
2,0.8209876543209876
3,0.8142382731423827
4,0.9831649831649832
5,0.8432400932400933
6,0.8919545304050325
7,0.8912108908526392
8,0.8747812443425262
9,0.8199825407382774
10,0.8484143763213531
11,0.8848958333333332
12,0.9486350574712644
13,0.8635820895522387
14,0.8911000552791597
15,0.9702669902912622
16,0.92183908045977
17,0.9468390804597702
18,0.8494112318840579
19,0.8016243422557767
20,0.9085497835497836
21,0.9642857142857143
22,0.8813829787234042
23,0.9103498542274053
24,0.8518518518518517
25,0.9398976982097186
26,0.9428699955015745
