,WPIBC
0,0.9869791666666666
1,0.9205357142857142
2,0.8897707231040565
3,0.8758821087588211
4,0.9696969696969697
5,0.8934861434861435
6,0.9152411433616598
7,0.9225778202372422
8,0.9113511556333352
9,0.889611739275025
10,0.9023255813953487
11,0.953125
12,0.975933908045977
13,0.9119402985074626
14,0.8996683250414593
15,0.9702669902912622
16,0.9850574712643678
17,0.9626436781609196
18,0.8694519927536233
19,0.829913063372226
20,0.9550865800865801
21,0.9623015873015873
22,0.9329787234042554
23,0.9402332361516035
24,0.9120370370370371
25,0.9554987212276215
26,0.9428699955015744
