,BBC
0,0.9713541666666666
1,0.8937499999999999
2,0.855379188712522
3,0.850145288501453
4,0.8754208754208754
5,0.8674566174566174
6,0.884560203068094
7,0.9058196003502905
8,0.8973206203608713
9,0.8671849018955771
10,0.8746300211416491
11,0.8994791666666666
12,0.96875
13,0.8994029850746268
14,0.886677722498618
15,0.9599514563106796
16,0.9241379310344827
17,0.9295977011494253
18,0.8524682971014493
19,0.8124113475177306
20,0.9215367965367965
21,0.9444444444444444
22,0.9138297872340425
23,0.9311224489795918
24,0.8912037037037037
25,0.9271099744245525
26,0.9228520017993702
