,PBC
0,0.9583333333333334
1,0.8937499999999999
2,0.828042328042328
3,0.8437110834371109
4,0.8518518518518519
5,0.8559311059311059
6,0.8747378876503696
7,0.8873099275535387
8,0.8856134210367509
9,0.860762387761889
10,0.8511627906976743
11,0.8875
12,0.9558189655172415
13,0.8958208955223881
14,0.8803206191265893
15,0.9599514563106796
16,0.9114942528735632
17,0.9051724137931035
18,0.7797780797101448
19,0.7906428734843285
20,0.9053030303030302
21,0.9444444444444444
22,0.9058510638297872
23,0.9121720116618076
24,0.8842592592592593
25,0.9163682864450128
26,0.9210526315789473
