,WPBC2
0,0.96875
1,0.8901785714285714
2,0.8421516754850088
3,0.8212951432129515
4,0.8754208754208754
5,0.8542476042476042
6,0.8725306257587463
7,0.8789109147360878
8,0.8818417717699595
9,0.8450074825407383
10,0.8610993657505286
11,0.8921874999999999
12,0.9353448275862071
13,0.8925373134328359
14,0.8355444997236042
15,0.9575242718446602
16,0.9241379310344827
17,0.9022988505747127
18,0.8171422101449275
19,0.7915122397620682
20,0.9193722943722944
21,0.9424603174603174
22,0.8920212765957447
23,0.9165451895043732
24,0.8851851851851851
25,0.918925831202046
26,0.919928025191183
