,IBC
0,0.9817708333333334
1,0.8839285714285714
2,0.8862433862433863
3,0.8794105437941054
4,0.9764309764309764
5,0.7757057757057757
6,0.770058492440128
7,0.7269723748109228
8,0.8624102347474503
9,0.8081559694047222
10,0.8862579281183933
11,0.9130208333333334
12,0.9091235632183908
13,0.8531343283582089
14,0.904367053620785
15,0.9326456310679612
16,0.9758620689655173
17,0.9698275862068966
18,0.84375
19,0.7768817204301076
20,0.8695887445887447
21,0.9761904761904763
22,0.8707446808510638
23,0.8520408163265306
24,0.8462962962962963
25,0.9046035805626599
26,0.9385964912280702
