,WPIBC
0,0.9505208333333334
1,0.8303571428571429
2,0.8386243386243386
3,0.8567870485678706
4,0.9848484848484849
5,0.7958430458430458
6,0.781260346540117
7,0.7337791577103734
8,0.8515478848590912
9,0.8275482208180912
10,0.8877378435517971
11,0.8973958333333334
12,0.8735632183908046
13,0.817910447761194
14,0.8933112216694307
15,0.9150485436893203
16,0.9666666666666666
17,0.9339080459770115
18,0.833786231884058
19,0.7981011210249371
20,0.9193722943722944
21,0.988095238095238
22,0.8505319148936169
23,0.8330903790087464
24,0.8231481481481482
25,0.9163682864450129
26,0.9102564102564102
