,BBC
0,0.9817708333333334
1,0.8375
2,0.8350970017636684
3,0.8825238688252387
4,0.9764309764309764
5,0.7957135457135457
6,0.7749144686016995
7,0.7418995302921743
8,0.8718242713173616
9,0.8286290322580645
10,0.8845665961945032
11,0.909375
12,0.9216954022988506
13,0.855820895522388
14,0.9126589275843008
15,0.9271844660194174
16,0.9517241379310344
17,0.9727011494252873
18,0.8547327898550724
19,0.7884008236101578
20,0.9247835497835498
21,0.9662698412698413
22,0.8547872340425532
23,0.8436588921282799
24,0.8537037037037037
25,0.9115089514066497
26,0.9181286549707602
