,PBC
0,0.9817708333333334
1,0.8375
2,0.7927689594356261
3,0.854711498547115
4,0.9730639730639731
5,0.7922817922817923
6,0.7594636353603355
7,0.730156834646923
8,0.8438537203548367
9,0.809673262387762
10,0.8750528541226216
11,0.8968750000000001
12,0.9055316091954022
13,0.8402985074626864
14,0.9115533443891654
15,0.9174757281553397
16,0.9517241379310344
17,0.9540229885057471
18,0.8002717391304347
19,0.7655342026996109
20,0.91991341991342
21,0.9662698412698413
22,0.8457446808510639
23,0.8316326530612245
24,0.8425925925925926
25,0.9112531969309463
26,0.9140800719748088
