,WPBC2
0,0.9791666666666667
1,0.8294642857142857
2,0.7962962962962963
3,0.8414279784142799
4,0.9730639730639731
5,0.7768065268065268
6,0.7410881801125704
7,0.7159063768808216
8,0.8476253696216282
9,0.8097979714000666
10,0.8608879492600423
11,0.8968750000000001
12,0.8864942528735633
13,0.8379104477611939
14,0.9032614704256496
15,0.8859223300970874
16,0.9471264367816091
17,0.9583333333333333
18,0.8257472826086956
19,0.764561885152139
20,0.9177489177489178
21,0.9523809523809524
22,0.8441489361702128
23,0.837463556851312
24,0.8393518518518518
25,0.9115089514066497
26,0.9140800719748088
