,IBC
0,0.9765625
1,0.8837606837606837
2,0.9444444444444444
3,0.9037162162162162
4,0.9936224489795918
5,0.7321289821289821
6,0.8060810810810812
7,0.7468478260869565
8,0.8942713038241494
9,0.8404088888888889
10,0.8886621315192744
11,0.9388631857237277
12,0.9288806431663574
13,0.8926426426426426
14,0.91404090657822
15,0.9751683501683501
16,0.9908045977011495
17,0.9693548387096773
18,0.8661684782608695
19,0.7850269970926208
20,0.9465290806754221
21,1.0
22,0.8771929824561403
23,0.9101633393829401
24,0.8481624758220503
25,0.8910107126222636
26,0.8981106612685561
