,WPIBC
0,0.9218750000000001
1,0.8196581196581196
2,0.9338959212376933
3,0.8851351351351352
4,0.9872448979591837
5,0.6482128982128982
6,0.7591779279279279
7,0.7066304347826088
8,0.8703327311050888
9,0.8188977777777778
10,0.8671201814058956
11,0.9177131526768011
12,0.909400123685838
13,0.8126876876876877
14,0.8756218905472637
15,0.968013468013468
16,0.9597701149425286
17,0.8741935483870968
18,0.7969882246376813
19,0.7544418293414555
20,0.8799249530956849
21,0.9333333333333333
22,0.849780701754386
23,0.8770417422867514
24,0.7794970986460349
25,0.8616674429436423
26,0.8529014844804319
