,PBC
0,0.9557291666666667
1,0.7829059829059829
2,0.8959212376933895
3,0.8735219594594595
4,0.9859693877551021
5,0.6436803936803936
6,0.7552927927927928
7,0.6976811594202899
8,0.8568578741342968
9,0.8083733333333334
10,0.8573696145124716
11,0.9001982815598151
12,0.8828076685219542
13,0.7942942942942943
14,0.8559977888336098
15,0.9718013468013467
16,0.957471264367816
17,0.882258064516129
18,0.8255208333333334
19,0.7404125709538973
20,0.8583489681050657
21,0.9629629629629629
22,0.8349780701754386
23,0.838021778584392
24,0.8210831721470019
25,0.8509548206800186
26,0.8612235717498875
