,WPBC2
0,0.9609375
1,0.7880341880341879
2,0.9360056258790435
3,0.8918918918918919
4,0.9859693877551021
5,0.6449106449106449
6,0.7872747747747748
7,0.7157971014492753
8,0.8732309545317675
9,0.8241777777777778
10,0.8662131519274376
11,0.9319233311302049
12,0.8933209647495363
13,0.8115615615615616
14,0.8861249309010503
15,0.9718013468013467
16,0.9597701149425286
17,0.9225806451612903
18,0.840919384057971
19,0.7602796621902257
20,0.8583489681050657
21,0.9629629629629629
22,0.8525219298245614
23,0.8697822141560798
24,0.8215667311411993
25,0.8632976245924545
26,0.8621232568600989
