,IBC
0,0.9427083333333334
1,0.9178571428571429
2,0.7786596119929453
3,0.800747198007472
4,0.9898989898989898
5,0.8415565915565916
6,0.8422359562962144
7,0.8821749860679882
8,0.8885703940619153
9,0.8095693382108414
10,0.8797040169133192
11,0.9333333333333333
12,0.9644396551724138
13,0.8817910447761195
14,0.8258706467661692
15,0.9466019417475728
16,0.9126436781609195
17,0.9612068965517241
18,0.8556385869565217
19,0.8174559597346145
20,0.9388528138528138
21,0.9722222222222223
22,0.8872340425531915
23,0.8975947521865889
24,0.8361111111111111
25,0.9327365728900255
26,0.930949167791273
