,WPIBC
0,0.9322916666666667
1,0.9330357142857142
2,0.8518518518518519
3,0.8451639684516399
4,0.9932659932659932
5,0.882996632996633
6,0.8947687893168524
7,0.9189554971737919
8,0.9124675638163056
9,0.8745219487861655
10,0.9283298097251587
11,0.9588541666666667
12,0.9838362068965516
13,0.9188059701492537
14,0.9021558872305141
15,0.9726941747572816
16,0.9655172413793103
17,0.9741379310344829
18,0.9122509057971016
19,0.8473690231068406
20,0.9637445887445888
21,0.9801587301587302
22,0.9335106382978723
23,0.9241982507288631
24,0.9208333333333334
25,0.9685421994884911
26,0.9572649572649573
