,BBC
0,0.9192708333333334
1,0.9205357142857143
2,0.8068783068783069
3,0.8308426733084268
4,0.9814814814814815
5,0.875032375032375
6,0.8789868667917448
7,0.9030331979937903
8,0.8982559893790356
9,0.8406218822746924
10,0.8993657505285413
11,0.9197916666666668
12,0.9683908045977011
13,0.9005970149253733
14,0.8927584300718628
15,0.9660194174757282
16,0.9344827586206896
17,0.9367816091954022
18,0.8695652173913043
19,0.8229238160603981
20,0.9123376623376622
21,0.9464285714285715
22,0.9170212765957446
23,0.8899416909620992
24,0.9
25,0.959846547314578
26,0.9415204678362573
