,PBC
0,0.9140625
1,0.9187500000000001
2,0.7857142857142857
3,0.8078040680780407
4,0.9696969696969697
5,0.8604636104636105
6,0.8571901556119634
7,0.8980176737520897
8,0.8777985637559592
9,0.8187770202859994
10,0.8769556025369979
11,0.8932291666666666
12,0.9597701149425288
13,0.8871641791044776
14,0.8604201216141515
15,0.9648058252427185
16,0.9298850574712644
17,0.9123563218390806
18,0.814651268115942
19,0.808533516357813
20,0.8852813852813852
21,0.9464285714285715
22,0.8691489361702127
23,0.8709912536443148
24,0.8680555555555556
25,0.9521739130434783
26,0.940620782726046
