,WPBC2
0,0.8984375
1,0.9008928571428572
2,0.7998236331569665
3,0.8105022831050229
4,0.9696969696969697
5,0.8609816109816111
6,0.8584041496523563
7,0.8914099195923892
8,0.8808762295576609
9,0.8198370468905887
10,0.8720930232558138
11,0.8932291666666666
12,0.9511494252873564
13,0.8773134328358209
14,0.8623548922056385
15,0.9544902912621359
16,0.9344827586206896
17,0.9137931034482758
18,0.8665081521739131
19,0.8011896591169069
20,0.8982683982683983
21,0.9265873015873016
22,0.8617021276595744
23,0.875
24,0.8722222222222222
25,0.9378516624040921
26,0.9410706252811517
