,IBC
0,0.9010416666666667
1,0.8392857142857143
2,0.8192239858906526
3,0.796596097965961
4,0.9090909090909091
5,0.8427220927220928
6,0.8459883015119743
7,0.8940370989570894
8,0.8346507076181873
9,0.7775111111111112
10,0.8179138321995465
11,0.9057291666666667
12,0.9604885057471265
13,0.8397014925373134
14,0.8170259812050856
15,0.9544902912621359
16,0.8954022988505747
17,0.9511494252873562
18,0.8839447463768115
19,0.7458696755733997
20,0.9258658008658008
21,0.9682539682539683
22,0.873404255319149
23,0.8669825072886298
24,0.8375
25,0.9071611253196931
26,0.9032838506522717
