,WPIBC
0,0.9322916666666666
1,0.8866071428571429
2,0.8130511463844797
3,0.827521793275218
4,0.9141414141414141
5,0.8390960890960891
6,0.8725306257587463
7,0.8953108828914896
8,0.8404471544715446
9,0.7878933333333334
10,0.8238095238095238
11,0.90625
12,0.9540229885057472
13,0.8214925373134327
14,0.8377556661138751
15,0.9733009708737863
16,0.8988505747126437
17,0.9022988505747126
18,0.8708106884057971
19,0.765217591951636
20,0.9047619047619048
21,0.9761904761904763
22,0.8803191489361701
23,0.8833819241982508
24,0.8574074074074074
25,0.9179028132992328
26,0.9053081421502475
