,PBC
0,0.921875
1,0.8982142857142859
2,0.7768959435626103
3,0.7797841427978415
4,0.9528619528619529
5,0.838837088837089
6,0.885884560203068
7,0.8879070137727889
8,0.8232083709725986
9,0.7928888888888889
10,0.8498866213151928
11,0.8947916666666668
12,0.9583333333333333
13,0.8528358208955223
14,0.8208955223880596
15,0.966626213592233
16,0.9241379310344827
17,0.896551724137931
18,0.8702445652173914
19,0.7564954543356869
20,0.8998917748917749
21,0.9543650793650793
22,0.8531914893617021
23,0.8826530612244898
24,0.8546296296296295
25,0.9194373401534526
26,0.8864147548358075
