,WPBC2
0,0.921875
1,0.8982142857142859
2,0.8059964726631393
3,0.8024076380240763
4,0.9309764309764309
5,0.8510748510748511
6,0.8913475333848361
7,0.9029933922458403
8,0.8478620897320084
9,0.7985422222222222
10,0.8571428571428572
11,0.9010416666666666
12,0.96875
13,0.8785074626865671
14,0.8449419568822554
15,0.9672330097087378
16,0.9241379310344827
17,0.9252873563218391
18,0.8769248188405797
19,0.76976325626471
20,0.9047619047619048
21,0.9543650793650793
22,0.8851063829787233
23,0.8950437317784257
24,0.8699074074074074
25,0.9345268542199489
26,0.9113810166441745
