,IBC
0,0.9895833333333334
1,0.9017857142857143
2,0.890652557319224
3,0.8802407638024078
4,0.98989898989899
5,0.723063973063973
6,0.777508001324357
7,0.6482764111137648
8,0.8783875338753387
9,0.8062755555555554
10,0.9392290249433107
11,0.9432291666666667
12,0.8505747126436782
13,0.8731343283582089
14,0.8830845771144279
15,0.9023058252427185
16,0.9747126436781609
17,0.985632183908046
18,0.911231884057971
19,0.7902418201116802
20,0.9123376623376623
21,0.9821428571428572
22,0.8382978723404255
23,0.8797376093294461
24,0.8546296296296295
25,0.7905370843989771
26,0.8207377417903733
