,WPIBC
0,0.984375
1,0.9107142857142857
2,0.8783068783068783
3,0.8742216687422167
4,0.9865319865319865
5,0.7163947163947163
6,0.7815362542765699
7,0.6443356420667145
8,0.8766184884071062
9,0.8111288888888889
10,0.9287981859410431
11,0.9333333333333333
12,0.8552442528735633
13,0.877910447761194
14,0.8880597014925373
15,0.9375
16,0.9839080459770115
17,0.9770114942528736
18,0.9073822463768116
19,0.7900341501684435
20,0.9090909090909092
21,0.9880952380952381
22,0.8356382978723405
23,0.879737609329446
24,0.8430555555555554
25,0.7803069053708441
26,0.8081421502474133
