,WPBC2
0,0.9427083333333333
1,0.8294642857142857
2,0.8227513227513228
3,0.8576172685761727
4,0.9713804713804713
5,0.7077829577829577
6,0.7541662068204392
7,0.6178648196799618
8,0.8518894911171334
9,0.79568
10,0.9233560090702948
11,0.9125000000000001
12,0.8229166666666667
13,0.8513432835820895
14,0.876727473742399
15,0.8974514563106797
16,0.9620689655172413
17,0.9683908045977012
18,0.8928894927536231
19,0.7617679634500899
20,0.8928571428571429
21,0.9642857142857143
22,0.7558510638297873
23,0.8221574344023324
24,0.825462962962963
25,0.780306905370844
26,0.800944669365722
