,PBC
0,0.9427083333333333
1,0.8080357142857143
2,0.8192239858906526
3,0.8366542133665422
4,0.968013468013468
5,0.6906889406889406
6,0.7515174925504912
7,0.6178648196799618
8,0.818164709424872
9,0.7649422222222223
10,0.9197278911564626
11,0.9052083333333333
12,0.822198275862069
13,0.8435820895522388
14,0.8598673300165838
15,0.8531553398058253
16,0.9597701149425286
17,0.9525862068965516
18,0.8760190217391304
19,0.7475541095574323
20,0.8674242424242425
21,0.9503968253968255
22,0.750531914893617
23,0.8032069970845481
24,0.8078703703703702
25,0.7800511508951407
26,0.7537112010796222
