,WPBC2
0,0.9401041666666667
1,0.8133928571428571
2,0.7883597883597884
3,0.8349937733499379
4,0.9713804713804713
5,0.6844729344729343
6,0.7451716146120737
7,0.6109784252846111
8,0.8153041252634748
9,0.7653333333333334
10,0.9077097505668934
11,0.909375
12,0.8092672413793103
13,0.8235820895522388
14,0.8490878938640133
15,0.8677184466019418
16,0.9620689655172413
17,0.9525862068965516
18,0.8812273550724636
19,0.7556186256864645
20,0.867965367965368
21,0.9583333333333334
22,0.7446808510638298
23,0.814868804664723
24,0.8055555555555555
25,0.7478260869565218
26,0.7860998650472335
