,WPBC2
0,0.9791666666666666
1,0.7897435897435898
2,0.950070323488045
3,0.9007601351351352
4,0.9910714285714286
5,0.6833074333074334
6,0.7873310810810811
7,0.7198913043478261
8,0.8653643480879254
9,0.81792
10,0.8691609977324263
11,0.9289491077329808
12,0.9066171923314781
13,0.8156906906906907
14,0.8833609729132117
15,0.9562289562289562
16,0.9735632183908045
17,0.9290322580645162
18,0.8346920289855073
19,0.7597489501130646
20,0.8977485928705441
21,0.9629629629629629
22,0.856359649122807
23,0.8579854809437386
24,0.8143133462282398
25,0.8707498835584536
26,0.8621232568600989
