,WPIBC
0,0.984375
1,0.8871794871794871
2,0.9690576652601969
3,0.9119510135135135
4,0.9910714285714286
5,0.7107614607614607
6,0.8074887387387387
7,0.7971739130434782
8,0.8862541403191809
9,0.8379733333333333
10,0.8950113378684807
11,0.9319233311302049
12,0.9165120593692022
13,0.8671171171171171
14,0.9176340519624102
15,0.9646464646464646
16,0.9942528735632183
17,0.964516129032258
18,0.8653759057971014
19,0.7744819788638148
20,0.9535647279549718
21,0.9888888888888889
22,0.9391447368421052
23,0.8938294010889292
24,0.864119922630561
25,0.8954354913833256
26,0.8760683760683761
